<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,23/10/18,15:31,111250.0,111260.0,111200.0,111250.0,343
SPFB.RTS-12.18,1,23/10/18,15:32,111260.0,111270.0,111260.0,111270.0,213
SPFB.RTS-12.18,1,23/10/18,15:33,111270.0,111380.0,111260.0,111360.0,1035
SPFB.RTS-12.18,1,23/10/18,15:34,111370.0,111500.0,111330.0,111490.0,2215
SPFB.RTS-12.18,1,23/10/18,15:35,111480.0,111530.0,111460.0,111510.0,1044
SPFB.RTS-12.18,1,23/10/18,15:36,111510.0,111570.0,111510.0,111530.0,1097
SPFB.RTS-12.18,1,23/10/18,15:37,111540.0,111540.0,111490.0,111490.0,904
SPFB.RTS-12.18,1,23/10/18,15:38,111490.0,111510.0,111470.0,111490.0,485
SPFB.RTS-12.18,1,23/10/18,15:39,111490.0,111560.0,111480.0,111520.0,511
SPFB.RTS-12.18,1,23/10/18,15:40,111510.0,111550.0,111470.0,111490.0,737
SPFB.RTS-12.18,1,23/10/18,15:41,111500.0,111530.0,111480.0,111500.0,523
SPFB.RTS-12.18,1,23/10/18,15:42,111510.0,111700.0,111510.0,111650.0,2153
SPFB.RTS-12.18,1,23/10/18,15:43,111640.0,111690.0,111600.0,111690.0,808
SPFB.RTS-12.18,1,23/10/18,15:44,111690.0,111690.0,111640.0,111650.0,349
SPFB.RTS-12.18,1,23/10/18,15:45,111660.0,111710.0,111650.0,111680.0,518
SPFB.RTS-12.18,1,23/10/18,15:46,111680.0,111690.0,111600.0,111650.0,595
SPFB.RTS-12.18,1,23/10/18,15:47,111660.0,111690.0,111620.0,111630.0,349
SPFB.RTS-12.18,1,23/10/18,15:48,111630.0,111640.0,111570.0,111600.0,489
SPFB.RTS-12.18,1,23/10/18,15:49,111610.0,111620.0,111560.0,111570.0,337
SPFB.RTS-12.18,1,23/10/18,15:50,111560.0,111560.0,111500.0,111540.0,676
SPFB.RTS-12.18,1,23/10/18,15:51,111550.0,111590.0,111540.0,111550.0,396
SPFB.RTS-12.18,1,23/10/18,15:52,111570.0,111590.0,111520.0,111590.0,399
SPFB.RTS-12.18,1,23/10/18,15:53,111590.0,111630.0,111540.0,111550.0,541
SPFB.RTS-12.18,1,23/10/18,15:54,111560.0,111640.0,111540.0,111610.0,457
SPFB.RTS-12.18,1,23/10/18,15:55,111610.0,111610.0,111530.0,111560.0,517
